Verkiezingsuitslagen Gemeenteraad  2010 - Nederland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# geldige stemmen;6581330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# ongeldige stemmen;17101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# blanco stemmen;14703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Percentage blanco stemmen;0,22 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# kiesgerechtigden;12216546;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Opkomst;6613134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Opkomstpercentage;54,13 %;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Partij;# Stemmen;Percentage;# Zetels;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Veghel;15210;38;28;0,18 %;28660;15276;53,30 %;5888;0;1708;3478;0;0;1508;0;0;0;0;0;0;0;2628;0;0;0;0;0;0;0;0;0;0;0;0
Veldhoven;16380;31;43;0,26 %;34077;16454;48,28 %;7758;2059;2921;2475;1167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Velsen;25655;59;52;0,20 %;52362;25766;49,21 %;6603;3781;4796;2375;3429;1972;1559;1140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vianen;8067;31;9;0,11 %;15244;8107;53,18 %;3026;1009;1167;1106;491;0;0;522;746;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vlaardingen;29008;60;33;0,11 %;56161;29101;51,82 %;7311;4805;3209;2917;2061;2657;2624;0;0;1469;1955;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vlagtwedde;6384;18;45;0,70 %;12991;6447;49,63 %;1828;1558;728;1357;0;627;0;286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vlieland;591;1;5;0,85 %;877;597;68,07 %;180;123;288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vlissingen;17387;32;24;0,14 %;35927;17443;48,55 %;7830;2378;1591;1530;1011;1176;1273;598;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vlist;4788;10;4;0,08 %;7482;4802;64,18 %;1985;482;565;832;0;0;0;0;0;0;924;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Voerendaal;6410;7;32;0,50 %;10323;6449;62,47 %;3088;832;503;1119;868;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
